Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,CA,California,Calaveras,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.3,,,9.0,11.7,46221,06009,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-120.5541065 38.1910682)
2021,CA,California,Alameda,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.1,,,8.6,11.8,1648556,06001,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.912488 37.6471385)
2021,CA,California,San Benito,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11,,,9.4,12.9,66677,06069,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.0858108 36.6116507)
2020,CA,California,Sacramento,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,38.2,,,32.3,44.2,1588921,06067,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-121.3443291 38.4501363)
2021,CA,California,Plumas,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.9,,,8.9,11.0,19915,06063,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-120.8243709 39.9922953)
2021,CA,California,Monterey,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12,,,10.3,13.9,437325,06053,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.3155781 36.2401044)
2020,CA,California,Kern,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,32.4,,,26.6,38.6,917673,06029,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-118.7295064 35.3466288)
2021,CA,California,Sutter,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,13,,,11.1,15.0,99063,06101,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-121.7039397 39.0361898)
2021,CA,California,Mono,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.3,,,15.0,22.0,13247,06051,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-118.8751668 37.9158363)
2020,CA,California,San Joaquin,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.7,,,8.0,13.6,789410,06077,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-121.272244 37.9349815)
2021,CA,California,Imperial,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,30.1,,,24.8,35.5,179851,06025,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-115.3554001 33.0408143)
2021,CA,California,Mono,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.8,,,5.9,7.8,13247,06051,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-118.8751668 37.9158363)
2020,CA,California,Merced,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,32,,,26.3,38.0,286461,06047,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-120.7228019 37.1948063)
2020,CA,California,Nevada,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.6,,,4.8,11.5,103487,06057,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-120.7713429 39.2975082)
2021,CA,California,Lassen,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.4,,,9.8,15.3,33159,06035,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-120.6212225 40.7152866)
2020,CA,California,Plumas,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,68.5,,,63.4,73.4,19915,06063,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-120.8243709 39.9922953)
2021,CA,California,Riverside,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36,,,31.1,41.3,2458395,06065,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-116.0022389 33.7298275)
